employ_chancellor;Promote a Statesmen;;;;;;;;;;;;x
employ_chancellor_desc;Promote a young statesmen to serve in your courts.;;;;;;;;;;;;x
employ_soldier;Recruit a Soldier;;;;;;;;;;;;x
employ_soldier_desc;Persuade a young warrior to fight for your cause.;;;;;;;;;;;;x
employ_steward;Invite Steward to Court;;;;;;;;;;;;;x
employ_steward_desc;Invite a promising steward to court, to aid with matters of administration.;;;;;;;;;;;;;x
employ_spymaster;Hire a Spymaster;;;;;;;;;;;;;x
employ_spymaster_desc;Call forth a spymaster from your rings to advise you.;;;;;;;;;;;;;x
employ_priest;Invite Priest to Court;;;;;;;;;;;;;x
employ_priest_desc;Scour the land for a priest to join my court and advise me on religious matters.;;;;;;;;;;;;;x
present_debutante;Present Débutante;;;;;;;;;;;;;x
present_debutante_desc;A young noblewoman who has caught your eye makes her début at a formal ball.;;;;;;;;;;;;;x
present_noble;Present Nobleman;;;;;;;;;;;;;x
present_noble_desc;A young scion who has caught your attention makes his début at court.;;;;;;;;;;;;;x
summon_tomb_king;Awaken a Tomb King;;;;;;;;;;;;;x
summon_tomb_king_desc;Awaken a Tomb King to rule over parts of your land in your stead.;;;;;;;;;;;;;x
